114, '正常', '耐震压力表', 'PRESSVREGAGGE', '蒸汽锅炉', '压力', 'YN-100', '（0~1.6）Mpa', 1.6, 14243191, '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
115, '正常', '温度表', '江苏远望', '热水锅炉', '温度', 'Y-100', '(0~400)C°', 1.6, 161816, '三管', '强', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
116, '正常', '耐震压力表', 'PRESSVREGAGGE', '热水锅炉', '压力', 'YN-100', '（0~1）Mpa', 1.6, 142314211, '三管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
117, '正常', '耐震压力真空表', '无锡凯丰压力表有限公司', '消防总用泵', '压力', 'YN-100', '（-0.1~0.15）Mpa', 1.6, 16061010, '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
118, '正常', '耐震压力表', '无锡凯丰压力表有限公司', '消防总用泵', '压力', 'YN-100', '（0~1）Mpa', 1.6, '13.11.17953', '三管', NULL, NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
119, '正常', '耐震压力表', '上海长城仪表厂', '空气瓶1', '压力', 'YN-60', '（0~6）Mpa', 1.6, 51036130, '二管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
120, '正常', '耐震压力表', '上海长城仪表厂', '空气瓶2', '压力', 'YN-60', '（0~6）Mpa', 1.6, 51036268, '二管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
121, '正常', '船用压力表', '中国扬州腾飞仪器仪表有限公司', '控制气瓶', '压力', 'Y-100', '（0~4）Mpa', 1.6, '13A9592', '二管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
122, '正常', '船用压力表', '中国扬州腾飞仪器仪表有限公司', '汽笛杂用空气瓶', '压力', 'Y-100', '（0~4）Mpa', 1.6, '13A9533', '二管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
123, '正常', '压力表', '中国黎明液压有限公司', '艉绞盘液压泵站', '压力', 'Y-20', '（0~0.4）Mpa', 1.6, 'SL505-YL022', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
124, '正常', '耐震压力表', 'PRESSVREGAGGE', '艉绞盘液压泵站', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL023', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
125, '正常', '耐震压力表', 'PRESSVREGAGGE', '艉绞盘液压泵站', '压力', 'YN-60', '（0~400）Mpa', 1.6, 'SL505-YL024', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
126, '正常', '温度计', '迅联', '艉绞盘液压泵站', '温度', NULL, '(-20~100)C°', NULL, 'SL505-W016', '三管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
127, '正常', '耐震压力表', 'PARKER', '右舵机', '压力', 'YN-60', '（0~3500）PSI', 1.6, 'SL505-YL025', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
128, '正常', '耐震压力表', 'PARKER', '右舵机', '压力', 'YN-60', '（0~3500）Mpa', 1.6, 'SL505-YL026', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
129, '正常', '耐震压力表', 'Sinkow', '舵机舱水密门1号', '压力', 'YN-60', '（0~2300）Mpa', 2.5, 'SL505-YL027', '大管', '非', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
